Original Sentence,Ctrl-T5-3b,Ctrl-T5-11b
"ChatGPT has been accused of engaging in discriminatory behaviors, such as telling jokes about men and people from England while refusing to tell jokes about women and people from India, or praising figures such as Joe Biden while refusing to do the same for Donald Trump.","ChatGPT has been accused of engaging in discriminatory behaviors, such as telling jokes about men and people from England while refusing to tell jokes about women and people from India, or praising figures such as Joe Biden while refusing to do the same for Donald Trump.","ChatGPT has been accused of engaging in discriminatory behaviors, such as praising figures such as Joe Biden while refusing to do the same for Donald Trump, or telling jokes about men and people from England while refusing to tell jokes about women and people from India."
"Reviewers praised how Keanu Reeves' ""Baba Yaga"" delivers many impressive action sequences, even if the underlying plot is not something that justifies a runtime nearing 3 hours (with a post-credits scene, no less), and it already opened to over $100 million worldwide.","Reviewers praised how Keanu Reeves' ""Baba Yaga"" delivers many impressive action sequences, even if the underlying plot is not something that justifies a runtime nearing three hours, and it already opened to over $100 million worldwide.","Reviewers praised how Keanu Reeves' ""Baba Yaga"" delivers many impressive action sequences, even if the underlying plot is not something that justifies a runtime nearing 3 hours, and it already opened to over $100 million, with a B.O. || from Rotten Tomatoes."
It was the first time the Academy Award Best Picture category featured two sequels (Avatar: The Way of Water and Top Gun: Maverick) as well as the first time two films grossing over $1 billion worldwide were nominated for Best Picture in the same year.,It was the first time the Academy Award Best Picture category had two sequels (Avatar: The Way of Water and Top Gun: Maverick). || It was also the first time two movies grossing over $1 billion worldwide were nominated for Best Picture in the same year.,It was the first time the Academy Award Best Picture category had two sequels in the running for the same award (Avatar: The Way of Water and Top Gun: Maverick). || It was also the first time a sequel was nominated for Best Picture in the same year.
"The award-winning actress turned Goop CEO is currently in court for a ski accident back in 2016, with the man who collided with her trying to get millions in indemnization (Paltrow in turn claims he was the one crashing rather than the other way around).","The award-winning actress turned Goop CEO is currently in court for a ski accident back in 2016, with the man who collided with her trying to get millions in compensation.","Paltrow is currently in court for a ski accident that happened in 2016. || The man who collided with her is trying to get millions of dollars in compensation, while Paltrow is claiming that he was the one crashing rather than the other way around."
"The International Court of Justice (ICJ) rules that the United States violated its 1955 friendship treaty with Iran when it allowed its domestic courts to freeze assets held by Iranian companies, but said that the ICJ does not have jurisdiction over the US$1.75 billion worth of frozen assets held by the Central Bank of Iran.","The International Court of Justice (ICJ) rules that the United States violated its 1955 friendship treaty with Iran when it allowed its domestic courts to freeze assets held by Iranian companies, but said that the ICJ does not have jurisdiction over the US$1.75 billion worth of frozen assets held by the Central Bank of Iran. || The ICJ rules that the United States violated its 1955 friendship treaty with Iran when it allowed its domestic courts to freeze assets held by Iranian companies.","The International Court of Justice (ICJ) rules that the United States broke its friendship treaty with Iran when it allowed its domestic courts to freeze the assets of Iranian companies. || However, the ICJ said that the Central Bank of Iran's assets are not part of the case because the Central Bank is not a company."
"Brazil and China sign an agreement to trade in their own currencies, ceasing the usage of the United States dollar as an intermediary.",Brazil and China agree to trade in their own currencies. || They no longer use the United States dollar to trade.,Brazil and China agree to use their own currencies to trade with each other. || They stop using the United States dollar to trade.
"The Vatican officially repudiates the discovery doctrine, writing that the 15th-century papal bulls which promoted it were ""manipulated for political purposes by competing colonial powers in order to justify immoral acts against indigenous peoples that were carried out, at times, without opposition from ecclesiastical authorities.""","The Vatican officially repudiates the discovery doctrine, writing that the 15th century papal bulls which promoted it were ""manipulated for political purposes by competing colonial powers in order to justify immoral acts against indigenous peoples that were carried out, at times, without opposition from ecclesiastical authorities"".","The Vatican now says that the Discovery Doctrine is not true. || In a 2008 statement, the Vatican said that the 15th century papal bulls that promoted the Discovery Doctrine were ""used for political purposes by competing colonial powers to justify immoral acts against indigenous peoples."""
"Eleven people die after being crushed in a crowd which gathered to collect food outside a factory in Karachi, Pakistan.","Eleven people are killed after being crushed in a crowd outside a factory in Karachi, Pakistan.","A crowd of people was crushed to death after being pushed by a truckload of goods outside a factory in Karachi, Pakistan."
"The new income tax in India is a significant change on the old 1961 statute, and contains a controversial ""angel tax"" provision seeking to capture some of the income entering the country from foreign investors funding India's start-ups.","The new income tax in India is a significant change on the old 1961 statute. || It contains a controversial ""angel tax"" provision seeking to capture some of the income entering the country from foreign investors funding India's start-ups.",The new income tax in India is a big change from the old 1961 law. || One of the changes is the so-called 'angel tax' which tries to get a piece of the income entering the country from foreign investors funding new businesses in India.
"In basketball, the Sacramento Kings make the NBA playoffs for the first time since 2006, ending their 17-year playoff drought, the longest in NBA history.","In basketball, the Sacramento Kings made the NBA playoffs for the first time in 17 years. || This ended their 17-year playoff drought.","In basketball, the Sacramento Kings return to the NBA playoffs after missing the 2006-2007 season. || This ended their 17-year playoff drought in the NBA."
"Ecuador withdraws its ambassador from Argentina in protest at the latter sheltering Ecuadorian politician María de los Ángeles Duarte since 2020, refusing to give information of her whereabouts.",Ecuador withdrew its ambassador from Argentina in protest at the latter sheltering Ecuadorian politician Mara de los ngeles Duarte since 2020.,"In protest, Ecuador withdrew its ambassador from Argentina. || Argentina has been sheltering Ecuadorian politician Mara de los ngeles Duarte, who has been missing since 2020."
Riots occur across France a day after President Emmanuel Macron gives a speech on pension reform.,Riots break out across France a day after President Emmanuel Macron's speech on pension reform.,"A day after President Emmanuel Macron gives a speech on pension reform, riots occur across France."
"Poland announces the closure of a major border crossing with Belarus ""until further notice"" amid heightened tensions between the two countries.","Poland says it will close a border crossing with Belarus ""until further notice"" because of tensions between the two countries.","Poland says it is closing a major border crossing with Belarus. || The border crossing will be closed ""until further notice""."
"Grocery inflation in the United Kingdom reaches a record high of 17.1%, according to market research group Kantar Worldpanel, amid high levels of inflation, supply chain issues and high energy costs impacting the economy.","Grocery inflation in the United Kingdom reaches a record high of 17.1 %, according to market research group Kantar Worldpanel. || This is because of high levels of inflation and high energy costs.","Grocery inflation in the United Kingdom reaches a record high of 17.1%, according to market research group Kantar Worldpanel. || This is the highest level of grocery inflation recorded in the UK since records began in 1992."
The novel follows the journey of a miracle baby rumored to be the child of God in search of his origins and mission.,The novel is about a baby rumored to be the child of God. || He goes in search of his origins and mission.,The book is about the journey of a miracle baby who people say is the child of God to find out who he is and what his mission is.
"In many cases, from planetary science to mammalian biology, the ease of discovery since the 1700s and 1800s can be fitted to an exponentially decaying curve.","In many cases, from planetary science to mammalian biology, the ease of discovery since the 1700s and 1800s can be fitted to a exponentially decaying curve.","In many cases, the ease of discovery since the 1700s and 1800s can be fitted to an exponentially decaying curve (see Moore's law for an example)."
The history of the pineal gland is an account of the scientific development on the understanding of the pineal gland from the ancient Greeks that led to the discovery of its neuroendocrine properties.,The history of the pineal gland is an account of the scientific development on the understanding of the pineal gland from the ancient Greeks to the present day.,The history of the pineal gland is an account of the scientific developments that led to the discovery of its neuroendocrine properties. || The history of the pineal gland started with the ancient Greeks.
"Industrialisation brought with the Victorian era a rapidly growing middle class whose increase in numbers had a significant effect on the social strata itself: cultural norms, lifestyle, values, and morality.",Industrialisation brought with the Victorian era a rapidly growing middle class whose increase in numbers had a significant effect on society as a whole.,"Industrialisation brought with it the Victorian era a rapidly growing middle class. || The middle class began to influence cultural norms, lifestyle, values, and morality in a big way."
"Its subject and medium are in line with modernisation, globalization and industrialization, as they symbolise the dynamism and zeitgeist of traditional Bengal at the time of industrialization.","Its subject and medium are in line with modernisation, globalization and industrialization. || It shows the dynamism and zeitgeist of traditional Bengal.","Its subject and medium are in line with modernisation, globalization and industrialization, and at the same time they speak of the dynamism of traditional Bengal, which was rapidly changing."
"However, the entertainment and intrigue the first half of the movie offers are something the second half fails to provide, with the latter being plagued by a sluggish pace.","However, the entertainment and intrigue the first half of the movie offers is something the second half does not have. || The second half moves at a sluggish pace.","However, the entertainment and intrigue the first half of the movie offers is something the second half fails to provide and drags in places due to its sluggish pace."
