Original Sentence,Article Title,Article Topic,Article Creation Date,Article Link
"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.",Colorado Springs nightclub shooting,event,Nov 20 2022,https://en.wikipedia.org/wiki/Colorado_Springs_nightclub_shooting
"According to the non-profit organization Iran Human Rights, as of 19 November 2022, at least 378 people including 43 minors under 18 years of age had been killed as a result of the government's intervention in the protests, involving tear gas and gunfire, making the protests the deadliest since the 2019–2020 protests that resulted in more than 1,500 fatalities.",Mahsa Amini protests,event,Nov 19 2022 (edit time),https://en.wikipedia.org/wiki/Mahsa_Amini_protests
"The film stars Julie Ledru as Julia, a young woman living in social housing who has a poor relationship with her mother; passionate about the sport of motocross, she tries to gain the opportunity to participate in the sport by posing as a buyer on shopping websites so that she can take bikes out for test rides.",Rodeo (2022 French film),film,Nov 20 2022,https://en.wikipedia.org/wiki/Rodeo_(2022_French_film)
"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",In Broad Daylight (2022 film),film,Nov 17 2022,https://en.wikipedia.org/wiki/In_Broad_Daylight_(2022_film)
"Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.",2022 FIFA World Cup controversies,event,Nov 13 2022,https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_controversies
"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.",FTX (company),finance,Nov 12 2022 (edit time),https://en.wikipedia.org/wiki/FTX_(company)
"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.",Saudi Arabia national football team,sports,Nov 22 2022 (edit time),https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team
"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.",2022 Chesapeake shooting,event,Nov 22 2022,https://en.wikipedia.org/wiki/2022_Chesapeake_shooting
"The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests, with some Iranian supporters cheering against their own team or boycotting their team amidst the ongoing protests as they felt the team was representing the government.",Iran national football team,sports,Nov 22 2022,https://en.wikipedia.org/wiki/Iran_national_football_team
"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.",2022 United Nations Climate Change Conference,event,Nov 15 2022 (edit time),https://en.wikipedia.org/wiki/2022_United_Nations_Climate_Change_Conference
"On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.",Artemis 1,event,Nov 21 2022  (edit time),https://en.wikipedia.org/wiki/Artemis_1
"These missions will seek to reestablish a human presence on the Moon and demonstrate technologies and business approaches needed for future scientific studies, including exploration of Mars.",Artemis 1,event,Nov 17 2022 (edit time),https://en.wikipedia.org/wiki/Artemis_1
"The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.",Zaporizhzhia Nuclear Power Plant crisis,event,Nov 21 2022  (edit time),https://en.wikipedia.org/wiki/Zaporizhzhia_Nuclear_Power_Plant_crisis
The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.,Proposed second Scottish independence referendum,politics,Nov 23,https://en.wikipedia.org/wiki/Proposed_second_Scottish_independence_referendum
"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.",October–November 2022 nationwide missile strikes on Ukraine,event,Nov 23,https://en.wikipedia.org/wiki/October%E2%80%93November_2022_nationwide_missile_strikes_on_Ukraine
"The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.",Black Panther: Wakanda Forever,film,Nov 14 2022 (edit time),https://en.wikipedia.org/wiki/Black_Panther:_Wakanda_Forever
"The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.",Black Panther: Wakanda Forever,film,Nov 23 2022 (edit time),https://en.wikipedia.org/wiki/Black_Panther:_Wakanda_Forever
"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",Elizabeth Holmes,people,Nov 19 2022 (edit time),https://en.wikipedia.org/wiki/Elizabeth_Holmes
"On 14 November, an interview with journalist Piers Morgan was published, where Ronaldo said that he felt ""betrayed"" by ten Hag and ""two or three others"" who wanted Ronaldo to leave the club, while also adding that the club ""doubted"" him when he said he could not attend pre-season training due to the illness of his daughter, and that he did not respect ten Hag ""because he doesn't show respect for me"", leading him to be disappointed with the communication of the club.",Cristiano Ronaldo,people,Nov 14 2022 (edit time),https://en.wikipedia.org/wiki/Cristiano_Ronaldo
United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.,Cristiano Ronaldo,people,Nov 19 2022 (edit time),https://en.wikipedia.org/wiki/Cristiano_Ronaldo
"On November 9, Fetterman was projected as the winner of the election by media outlets.",John Fetterman,people,Nov 9 2022 (edit time),https://en.wikipedia.org/wiki/John_Fetterman
"Before Bankman-Fried's wealth eroded in November 2022, Bankman-Fried was a major donor to Democratic Party candidates.",Sam Bankman-Fried,people,Nov 11 2022 (edit time),https://en.wikipedia.org/wiki/Sam_Bankman-Fried
"England are the reigning T20 World Cup holders, having beaten Pakistan in the 2022 final, winning their second title.",ICC Men's T20 World Cup,sports,Nov 13 2022 (edit time),https://en.wikipedia.org/wiki/ICC_Men%27s_T20_World_Cup
"The complainant claimed that he had not renounced his Nepali citizenship while being an American citizen, and Nepali law does not allow the provision of dual citizenship.",Rabi Lamichhane,people,Nov 23 2022 (edit time),https://en.wikipedia.org/wiki/Rabi_Lamichhane
"About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.",2022 Düzce earthquake,event,Nov 23 2022,https://en.wikipedia.org/wiki/2022_D%C3%BCzce_earthquake
"A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, though it also found more than half of self-identified Republicans supported it as a top congressional priority.",Efforts to impeach Joe Biden,politics,Nov 16 2022,https://en.wikipedia.org/wiki/Efforts_to_impeach_Joe_Biden
"Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.",Hugh G. Robinson,people,Nov 17 2022,https://en.wikipedia.org/wiki/Hugh_G._Robinson
"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.",Arap Mosque (Drama),architecture,Nov 23 2022,https://en.wikipedia.org/wiki/Arap_Mosque_(Drama)
"The Creative Gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing Kojima's life, many of which focus on the various pop culture media Kojima developed an adoration for and how they have impacted him.",The Creative Gene,literature,Nov 22 2022,https://en.wikipedia.org/wiki/The_Creative_Gene
"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.",A Wilder Life,literature,Nov 18 2022,https://en.wikipedia.org/wiki/A_Wilder_Life